# Generated from xorgproto keysym headers by scripts/generate-keysyms.
# The bundled table keeps runtime conversion and validation independent of development headers.
0	30
Armenian_RE	550
Armenian_SE	54d
Armenian_SHA	547
Armenian_TCHE	543
Armenian_TO	539
Armenian_TSA	53e
Armenian_TSO	551
Armenian_TYUN	54f
Armenian_VEV	54e
Armenian_VO	548
Armenian_VYUN	552
Armenian_YECH	535
Armenian_ZA	536
Armenian_ZHE	53a
Armenian_accent	55b
Armenian_amanak	55c
Armenian_apostrophe	55a
Armenian_at	568
Armenian_ayb	561
Armenian_ben	562
Armenian_but	55d
Armenian_cha	579
Armenian_da	564
Armenian_dza	571
Armenian_e	567
Armenian_exclam	55c
Armenian_fe	586
Armenian_full_stop	589
Armenian_ghat	572
Armenian_gim	563
Armenian_hi	575
Armenian_ho	570
Armenian_hyphen	58a
Armenian_ini	56b
Armenian_je	57b
Armenian_ke	584
Armenian_ken	56f
Armenian_khe	56d
Armenian_ligature_ew	587
Armenian_lyun	56c
Armenian_men	574
Armenian_nu	576
Armenian_o	585
Armenian_paruyk	55e
Armenian_pe	57a
Armenian_pyur	583
Armenian_question	55e
Armenian_ra	57c
Armenian_re	580
Armenian_se	57d
Armenian_separation_mark	55d
Armenian_sha	577
Armenian_shesht	55b
Armenian_tche	573
Armenian_to	569
Armenian_tsa	56e
Armenian_tso	581
Armenian_tyun	57f
Armenian_verjaket	589
Armenian_vev	57e
Armenian_vo	578
Armenian_vyun	582
Armenian_yech	565
Armenian_yentamna	58a
Armenian_za	566
Armenian_zhe	56a
Atilde	c3
AudibleBell_Enable	-
B	42
Babovedot	1e02
BackSpace	8
BackTab	-
Begin	-
BounceKeys_Enable	-
Break	-
Byelorussian_SHORTU	40e
Byelorussian_shortu	45e
C	43
CH	-
C_H	-
C_h	-
Cabovedot	10a
Cacute	106
Cancel	-
Caps_Lock	-
Ccaron	10c
Ccedilla	c7
Ccircumflex	108
Ch	-
Clear	b
ClearLine	-
Codeinput	-
ColonSign	20a1
Control_L	-
Control_R	-
CruzeiroSign	20a2
Cyrillic_A	410
Cyrillic_BE	411
Cyrillic_CHE	427
Cyrillic_CHE_descender	4b6
Cyrillic_CHE_vertstroke	4b8
Cyrillic_DE	414
Cyrillic_DZHE	40f
Cyrillic_E	42d
Cyrillic_EF	424
Cyrillic_EL	41b
Cyrillic_EM	41c
Cyrillic_EN	41d
Cyrillic_EN_descender	4a2
Cyrillic_ER	420
Cyrillic_ES	421
Cyrillic_GHE	413
Cyrillic_GHE_bar	492
Cyrillic_HA	425
Cyrillic_HARDSIGN	42a
Cyrillic_HA_descender	4b2
Cyrillic_I	418
Cyrillic_IE	415
Cyrillic_IO	401
Cyrillic_I_macron	4e2
Cyrillic_JE	408
Cyrillic_KA	41a
Cyrillic_KA_descender	49a
Cyrillic_KA_vertstroke	49c
Cyrillic_LJE	409
Cyrillic_NJE	40a
Cyrillic_O	41e
Cyrillic_O_bar	4e8
Cyrillic_PE	41f
Cyrillic_SCHWA	4d8
Cyrillic_SHA	428
Cyrillic_SHCHA	429
Cyrillic_SHHA	4ba
Cyrillic_SHORTI	419
Cyrillic_SOFTSIGN	42c
Cyrillic_TE	422
Cyrillic_TSE	426
Cyrillic_U	423
Cyrillic_U_macron	4ee
Cyrillic_U_straight	4ae
Cyrillic_U_straight_bar	4b0
Cyrillic_VE	412
Cyrillic_YA	42f
Cyrillic_YERU	42b
Cyrillic_YU	42e
Cyrillic_ZE	417
Cyrillic_ZHE	416
Cyrillic_ZHE_descender	496
Cyrillic_a	430
Cyrillic_be	431
Cyrillic_che	447
Cyrillic_che_descender	4b7
Cyrillic_che_vertstroke	4b9
Cyrillic_de	434
Cyrillic_dzhe	45f
Cyrillic_e	44d
Cyrillic_ef	444
Cyrillic_el	43b
Cyrillic_em	43c
Cyrillic_en	43d
Cyrillic_en_descender	4a3
Cyrillic_er	440
Cyrillic_es	441
Cyrillic_ghe	433
Cyrillic_ghe_bar	493
Cyrillic_ha	445
Cyrillic_ha_descender	4b3
Cyrillic_hardsign	44a
Cyrillic_i	438
Cyrillic_i_macron	4e3
Cyrillic_ie	435
Cyrillic_io	451
Cyrillic_je	458
Cyrillic_ka	43a
Cyrillic_ka_descender	49b
Cyrillic_ka_vertstroke	49d
Cyrillic_lje	459
Cyrillic_nje	45a
Cyrillic_o	43e
Cyrillic_o_bar	4e9
Cyrillic_pe	43f
Cyrillic_schwa	4d9
Cyrillic_sha	448
Cyrillic_shcha	449
Cyrillic_shha	4bb
Cyrillic_shorti	439
Cyrillic_softsign	44c
Cyrillic_te	442
Cyrillic_tse	446
Cyrillic_u	443
Cyrillic_u_macron	4ef
Cyrillic_u_straight	4af
Cyrillic_u_straight_bar	4b1
Cyrillic_ve	432
Cyrillic_ya	44f
Cyrillic_yeru	44b
Cyrillic_yu	44e
Cyrillic_ze	437
Cyrillic_zhe	436
Cyrillic_zhe_descender	497
D	44
DRemove	-
Dabovedot	1e0a
Dacute_accent	-
Dcaron	10e
Dcedilla_accent	-
Dcircumflex_accent	-
Ddiaeresis	-
Delete	7f
DeleteChar	-
DeleteLine	-
Dgrave_accent	-
DongSign	20ab
Down	-
Dring_accent	-
Dstroke	110
Dtilde	-
E	45
ENG	14a
ETH	d0
EZH	1b7
Eabovedot	116
Eacute	c9
Ebelowdot	1eb8
Ecaron	11a
Ecircumflex	ca
Ecircumflexacute	1ebe
Ecircumflexbelowdot	1ec6
Ecircumflexgrave	1ec0
Ecircumflexhook	1ec2
Ecircumflextilde	1ec4
EcuSign	20a0
Ediaeresis	cb
Egrave	c8
Ehook	1eba
Eisu_Shift	-
Eisu_toggle	-
Emacron	112
End	-
Eogonek	118
Escape	1b
Eth	d0
Etilde	1ebc
EuroSign	20ac
Execute	-
Ext16bit_L	-
Ext16bit_R	-
F	46
F1	-
F10	-
F11	-
F12	-
F13	-
F14	-
F15	-
F16	-
F17	-
F18	-
F19	-
F2	-
F20	-
F21	-
F22	-
F23	-
F24	-
F25	-
F26	-
F27	-
F28	-
F29	-
F3	-
F30	-
F31	-
F32	-
F33	-
F34	-
F35	-
F4	-
F5	-
F6	-
F7	-
F8	-
F9	-
FFrancSign	20a3
Fabovedot	1e1e
Farsi_0	6f0
Farsi_1	6f1
Farsi_2	6f2
Farsi_3	6f3
Farsi_4	6f4
Farsi_5	6f5
Farsi_6	6f6
Farsi_7	6f7
Farsi_8	6f8
Farsi_9	6f9
Farsi_yeh	6cc
Find	-
First_Virtual_Screen	-
G	47
Gabovedot	120
Gbreve	11e
Gcaron	1e6
Gcedilla	122
Gcircumflex	11c
Georgian_an	10d0
Georgian_ban	10d1
Georgian_can	10ea
Georgian_char	10ed
Georgian_chin	10e9
Georgian_cil	10ec
Georgian_don	10d3
Georgian_en	10d4
Georgian_fi	10f6
Georgian_gan	10d2
Georgian_ghan	10e6
Georgian_hae	10f0
Georgian_har	10f4
Georgian_he	10f1
Georgian_hie	10f2
Georgian_hoe	10f5
Georgian_in	10d8
Georgian_jhan	10ef
Georgian_jil	10eb
Georgian_kan	10d9
Georgian_khar	10e5
Georgian_las	10da
Georgian_man	10db
Georgian_nar	10dc
Georgian_on	10dd
Georgian_par	10de
Georgian_phar	10e4
Georgian_qar	10e7
Georgian_rae	10e0
Georgian_san	10e1
Georgian_shin	10e8
Georgian_tan	10d7
Georgian_tar	10e2
Georgian_un	10e3
Georgian_vin	10d5
Georgian_we	10f3
Georgian_xan	10ee
Georgian_zen	10d6
Georgian_zhar	10df
Greek_ALPHA	391
Greek_ALPHAaccent	386
Greek_BETA	392
Greek_CHI	3a7
Greek_DELTA	394
Greek_EPSILON	395
Greek_EPSILONaccent	388
Greek_ETA	397
Greek_ETAaccent	389
Greek_GAMMA	393
Greek_IOTA	399
Greek_IOTAaccent	38a
Greek_IOTAdiaeresis	3aa
Greek_IOTAdieresis	3aa
Greek_KAPPA	39a
Greek_LAMBDA	39b
Greek_LAMDA	39b
Greek_MU	39c
Greek_NU	39d
Greek_OMEGA	3a9
Greek_OMEGAaccent	38f
Greek_OMICRON	39f
Greek_OMICRONaccent	38c
Greek_PHI	3a6
Greek_PI	3a0
Greek_PSI	3a8
Greek_RHO	3a1
Greek_SIGMA	3a3
Greek_TAU	3a4
Greek_THETA	398
Greek_UPSILON	3a5
Greek_UPSILONaccent	38e
Greek_UPSILONdieresis	3ab
Greek_XI	39e
Greek_ZETA	396
Greek_accentdieresis	385
Greek_alpha	3b1
Greek_alphaaccent	3ac
Greek_beta	3b2
Greek_chi	3c7
Greek_delta	3b4
Greek_epsilon	3b5
Greek_epsilonaccent	3ad
Greek_eta	3b7
Greek_etaaccent	3ae
Greek_finalsmallsigma	3c2
Greek_gamma	3b3
Greek_horizbar	2015
Greek_iota	3b9
Greek_iotaaccent	3af
Greek_iotaaccentdieresis	390
Greek_iotadieresis	3ca
Greek_kappa	3ba
Greek_lambda	3bb
Greek_lamda	3bb
Greek_mu	3bc
Greek_nu	3bd
Greek_omega	3c9
Greek_omegaaccent	3ce
Greek_omicron	3bf
Greek_omicronaccent	3cc
Greek_phi	3c6
Greek_pi	3c0
Greek_psi	3c8
Greek_rho	3c1
Greek_sigma	3c3
Greek_switch	-
Greek_tau	3c4
Greek_theta	3b8
Greek_upsilon	3c5
Greek_upsilonaccent	3cd
Greek_upsilonaccentdieresis	3b0
Greek_upsilondieresis	3cb
Greek_xi	3be
Greek_zeta	3b6
H	48
Hangul	-
Hangul_A	314f
Hangul_AE	3150
Hangul_AraeA	318d
Hangul_AraeAE	318e
Hangul_Banja	-
Hangul_Cieuc	314a
Hangul_Codeinput	-
Hangul_Dikeud	3137
Hangul_E	3154
Hangul_EO	3153
Hangul_EU	3161
Hangul_End	-
Hangul_Hanja	-
Hangul_Hieuh	314e
Hangul_I	3163
Hangul_Ieung	3147
Hangul_J_Cieuc	11be
Hangul_J_Dikeud	11ae
Hangul_J_Hieuh	11c2
Hangul_J_Ieung	11bc
Hangul_J_Jieuj	11bd
Hangul_J_Khieuq	11bf
Hangul_J_Kiyeog	11a8
Hangul_J_KiyeogSios	11aa
Hangul_J_KkogjiDalrinIeung	11f0
Hangul_J_Mieum	11b7
Hangul_J_Nieun	11ab
Hangul_J_NieunHieuh	11ad
Hangul_J_NieunJieuj	11ac
Hangul_J_PanSios	11eb
Hangul_J_Phieuf	11c1
Hangul_J_Pieub	11b8
Hangul_J_PieubSios	11b9
Hangul_J_Rieul	11af
Hangul_J_RieulHieuh	11b6
Hangul_J_RieulKiyeog	11b0
Hangul_J_RieulMieum	11b1
Hangul_J_RieulPhieuf	11b5
Hangul_J_RieulPieub	11b2
Hangul_J_RieulSios	11b3
Hangul_J_RieulTieut	11b4
Hangul_J_Sios	11ba
Hangul_J_SsangKiyeog	11a9
Hangul_J_SsangSios	11bb
Hangul_J_Tieut	11c0
Hangul_J_YeorinHieuh	11f9
Hangul_Jamo	-
Hangul_Jeonja	-
Hangul_Jieuj	3148
Hangul_Khieuq	314b
Hangul_Kiyeog	3131
Hangul_KiyeogSios	3133
Hangul_KkogjiDalrinIeung	3181
Hangul_Mieum	3141
Hangul_MultipleCandidate	-
Hangul_Nieun	3134
Hangul_NieunHieuh	3136
Hangul_NieunJieuj	3135
Hangul_O	3157
Hangul_OE	315a
Hangul_PanSios	317f
Hangul_Phieuf	314d
Hangul_Pieub	3142
Hangul_PieubSios	3144
Hangul_PostHanja	-
Hangul_PreHanja	-
Hangul_PreviousCandidate	-
Hangul_Rieul	3139
Hangul_RieulHieuh	3140
Hangul_RieulKiyeog	313a
Hangul_RieulMieum	313b
Hangul_RieulPhieuf	313f
Hangul_RieulPieub	313c
Hangul_RieulSios	313d
Hangul_RieulTieut	313e
Hangul_RieulYeorinHieuh	316d
Hangul_Romaja	-
Hangul_SingleCandidate	-
Hangul_Sios	3145
Hangul_Special	-
Hangul_SsangDikeud	3138
Hangul_SsangJieuj	3149
Hangul_SsangKiyeog	3132
Hangul_SsangPieub	3143
Hangul_SsangSios	3146
Hangul_Start	-
Hangul_SunkyeongeumMieum	3171
Hangul_SunkyeongeumPhieuf	3184
Hangul_SunkyeongeumPieub	3178
Hangul_Tieut	314c
Hangul_U	315c
Hangul_WA	3158
Hangul_WAE	3159
Hangul_WE	315e
Hangul_WEO	315d
Hangul_WI	315f
Hangul_YA	3151
Hangul_YAE	3152
Hangul_YE	3156
Hangul_YEO	3155
Hangul_YI	3162
Hangul_YO	315b
Hangul_YU	3160
Hangul_YeorinHieuh	3186
Hangul_switch	-
Hankaku	-
Hcircumflex	124
Hebrew_switch	-
Help	-
Henkan	-
Henkan_Mode	-
Hiragana	-
Hiragana_Katakana	-
Home	-
Hstroke	126
Hyper_L	-
Hyper_R	-
I	49
IO	-
ISO_Center_Object	-
ISO_Continuous_Underline	-
ISO_Discontinuous_Underline	-
ISO_Emphasize	-
ISO_Enter	-
ISO_Fast_Cursor_Down	-
ISO_Fast_Cursor_Left	-
ISO_Fast_Cursor_Right	-
ISO_Fast_Cursor_Up	-
ISO_First_Group	-
ISO_First_Group_Lock	-
ISO_Group_Latch	-
ISO_Group_Lock	-
ISO_Group_Shift	-
ISO_Last_Group	-
ISO_Last_Group_Lock	-
ISO_Left_Tab	-
ISO_Level2_Latch	-
ISO_Level3_Latch	-
ISO_Level3_Lock	-
ISO_Level3_Shift	-
ISO_Level5_Latch	-
ISO_Level5_Lock	-
ISO_Level5_Shift	-
ISO_Lock	-
ISO_Move_Line_Down	-
ISO_Move_Line_Up	-
ISO_Next_Group	-
ISO_Next_Group_Lock	-
ISO_Partial_Line_Down	-
ISO_Partial_Line_Up	-
ISO_Partial_Space_Left	-
ISO_Partial_Space_Right	-
ISO_Prev_Group	-
ISO_Prev_Group_Lock	-
ISO_Release_Both_Margins	-
ISO_Release_Margin_Left	-
ISO_Release_Margin_Right	-
ISO_Set_Margin_Left	-
ISO_Set_Margin_Right	-
Iabovedot	130
Iacute	cd
Ibelowdot	1eca
Ibreve	12c
Icircumflex	ce
Idiaeresis	cf
Igrave	cc
Ihook	1ec8
Imacron	12a
Insert	-
InsertChar	-
InsertLine	-
Iogonek	12e
Itilde	128
J	4a
Jcircumflex	134
K	4b
KP_0	30
KP_1	31
KP_2	32
KP_3	33
KP_4	34
KP_5	35
KP_6	36
KP_7	37
KP_8	38
KP_9	39
KP_Add	2b
KP_BackTab	-
KP_Begin	-
KP_Decimal	2e
KP_Delete	-
KP_Divide	2f
KP_Down	-
KP_End	-
KP_Enter	d
KP_Equal	3d
KP_F1	-
KP_F2	-
KP_F3	-
KP_F4	-
KP_Home	-
KP_Insert	-
KP_Left	-
KP_Multiply	2a
KP_Next	-
KP_Page_Down	-
KP_Page_Up	-
KP_Prior	-
KP_Right	-
KP_Separator	2c
KP_Space	20
KP_Subtract	2d
KP_Tab	9
KP_Up	-
Kana_Lock	-
Kana_Shift	-
Kanji	-
Kanji_Bangou	-
Katakana	-
Kcedilla	136
Korean_Won	20a9
L	4c
L1	-
L10	-
L2	-
L3	-
L4	-
L5	-
L6	-
L7	-
L8	-
L9	-
Lacute	139
Last_Virtual_Screen	-
Lbelowdot	1e36
Lcaron	13d
Lcedilla	13b
Left	-
Linefeed	a
LiraSign	20a4
Lstroke	141
M	4d
Mabovedot	1e40
Macedonia_DSE	405
Macedonia_GJE	403
Macedonia_KJE	40c
Macedonia_dse	455
Macedonia_gje	453
Macedonia_kje	45c
Mae_Koho	-
Massyo	-
Menu	-
Meta_L	-
Meta_R	-
MillSign	20a5
Mode_switch	-
MouseKeys_Accel_Enable	-
MouseKeys_Enable	-
Muhenkan	-
Multi_key	-
MultipleCandidate	-
N	4e
Nacute	143
NairaSign	20a6
Ncaron	147
Ncedilla	145
NewSheqelSign	20aa
Next	-
Next_Virtual_Screen	-
Ntilde	d1
Num_Lock	-
O	4f
OE	152
Oacute	d3
Obarred	19f
Obelowdot	1ecc
Ocaron	1d1
Ocircumflex	d4
Ocircumflexacute	1ed0
Ocircumflexbelowdot	1ed8
Ocircumflexgrave	1ed2
Ocircumflexhook	1ed4
Ocircumflextilde	1ed6
Odiaeresis	d6
Odoubleacute	150
Ograve	d2
Ohook	1ece
Ohorn	1a0
Ohornacute	1eda
Ohornbelowdot	1ee2
Ohorngrave	1edc
Ohornhook	1ede
Ohorntilde	1ee0
Omacron	14c
Ooblique	d8
Oslash	d8
Otilde	d5
Overlay1_Enable	-
Overlay2_Enable	-
P	50
Pabovedot	1e56
Page_Down	-
Page_Up	-
Pause	-
PesetaSign	20a7
Pointer_Accelerate	-
Pointer_Button1	-
Pointer_Button2	-
Pointer_Button3	-
Pointer_Button4	-
Pointer_Button5	-
Pointer_Button_Dflt	-
Pointer_DblClick1	-
Pointer_DblClick2	-
Pointer_DblClick3	-
Pointer_DblClick4	-
Pointer_DblClick5	-
Pointer_DblClick_Dflt	-
Pointer_DfltBtnNext	-
Pointer_DfltBtnPrev	-
Pointer_Down	-
Pointer_DownLeft	-
Pointer_DownRight	-
Pointer_Drag1	-
Pointer_Drag2	-
Pointer_Drag3	-
Pointer_Drag4	-
Pointer_Drag5	-
Pointer_Drag_Dflt	-
Pointer_EnableKeys	-
Pointer_Left	-
Pointer_Right	-
Pointer_Up	-
Pointer_UpLeft	-
Pointer_UpRight	-
Prev_Virtual_Screen	-
PreviousCandidate	-
Print	-
Prior	-
Q	51
R	52
R1	-
R10	-
R11	-
R12	-
R13	-
R14	-
R15	-
R2	-
R3	-
R4	-
R5	-
R6	-
R7	-
R8	-
R9	-
Racute	154
Rcaron	158
Rcedilla	156
Redo	-
RepeatKeys_Enable	-
Reset	-
Return	d
Right	-
Romaji	-
RupeeSign	20a8
S	53
SCHWA	18f
Sabovedot	1e60
Sacute	15a
Scaron	160
Scedilla	15e
Scircumflex	15c
Scroll_Lock	-
Select	-
Serbian_DJE	402
Serbian_DZE	40f
Serbian_JE	408
Serbian_LJE	409
Serbian_NJE	40a
Serbian_TSHE	40b
Serbian_dje	452
Serbian_dze	45f
Serbian_je	458
Serbian_lje	459
Serbian_nje	45a
Serbian_tshe	45b
Shift_L	-
Shift_Lock	-
Shift_R	-
SingleCandidate	-
Sinh_a	d85
Sinh_aa	d86
Sinh_aa2	dcf
Sinh_ae	d87
Sinh_ae2	dd0
Sinh_aee	d88
Sinh_aee2	dd1
Sinh_ai	d93
Sinh_ai2	ddb
Sinh_al	dca
Sinh_au	d96
Sinh_au2	dde
Sinh_ba	db6
Sinh_bha	db7
Sinh_ca	da0
Sinh_cha	da1
Sinh_dda	da9
Sinh_ddha	daa
Sinh_dha	daf
Sinh_dhha	db0
Sinh_e	d91
Sinh_e2	dd9
Sinh_ee	d92
Sinh_ee2	dda
Sinh_fa	dc6
Sinh_ga	d9c
Sinh_gha	d9d
Sinh_h2	d83
Sinh_ha	dc4
Sinh_i	d89
Sinh_i2	dd2
Sinh_ii	d8a
Sinh_ii2	dd3
Sinh_ja	da2
Sinh_jha	da3
Sinh_jnya	da5
Sinh_ka	d9a
Sinh_kha	d9b
Sinh_kunddaliya	df4
Sinh_la	dbd
Sinh_lla	dc5
Sinh_lu	d8f
Sinh_lu2	ddf
Sinh_luu	d90
Sinh_luu2	df3
Sinh_ma	db8
Sinh_mba	db9
Sinh_na	db1
Sinh_ndda	dac
Sinh_ndha	db3
Sinh_ng	d82
Sinh_ng2	d9e
Sinh_nga	d9f
Sinh_nja	da6
Sinh_nna	dab
Sinh_nya	da4
Sinh_o	d94
Sinh_o2	ddc
Sinh_oo	d95
Sinh_oo2	ddd
Sinh_pa	db4
Sinh_pha	db5
Sinh_ra	dbb
Sinh_ri	d8d
Sinh_rii	d8e
Sinh_ru2	dd8
Sinh_ruu2	df2
Sinh_sa	dc3
Sinh_sha	dc1
Sinh_ssha	dc2
Sinh_tha	dad
Sinh_thha	dae
Sinh_tta	da7
Sinh_ttha	da8
Sinh_u	d8b
Sinh_u2	dd4
Sinh_uu	d8c
Sinh_uu2	dd6
Sinh_va	dc0
Sinh_ya	dba
SlowKeys_Enable	-
StickyKeys_Enable	-
SunAgain	-
SunAltGraph	-
SunAudioLowerVolume	-
SunAudioMute	-
SunAudioRaiseVolume	-
SunCompose	-
SunCopy	-
SunCut	-
SunF36	-
SunF37	-
SunFA_Acute	-
SunFA_Cedilla	-
SunFA_Circum	-
SunFA_Diaeresis	-
SunFA_Grave	-
SunFA_Tilde	-
SunFind	-
SunFront	-
SunOpen	-
SunPageDown	-
SunPageUp	-
SunPaste	-
SunPowerSwitch	-
SunPowerSwitchShift	-
SunPrint_Screen	-
SunProps	-
SunStop	-
SunSys_Req	-
SunUndo	-
SunVideoDegauss	-
SunVideoLowerBrightness	-
SunVideoRaiseBrightness	-
Super_L	-
Super_R	-
Sys_Req	-
System	-
T	54
THORN	de
Tab	9
Tabovedot	1e6a
Tcaron	164
Tcedilla	162
Terminate_Server	-
Thai_baht	e3f
Thai_bobaimai	e1a
Thai_chochan	e08
Thai_chochang	e0a
Thai_choching	e09
Thai_chochoe	e0c
Thai_dochada	e0e
Thai_dodek	e14
Thai_fofa	e1d
Thai_fofan	e1f
Thai_hohip	e2b
Thai_honokhuk	e2e
Thai_khokhai	e02
Thai_khokhon	e05
Thai_khokhuat	e03
Thai_khokhwai	e04
Thai_khorakhang	e06
Thai_kokai	e01
Thai_lakkhangyao	e45
Thai_lekchet	e57
Thai_lekha	e55
Thai_lekhok	e56
Thai_lekkao	e59
Thai_leknung	e51
Thai_lekpaet	e58
Thai_leksam	e53
Thai_leksi	e54
Thai_leksong	e52
Thai_leksun	e50
Thai_lochula	e2c
Thai_loling	e25
Thai_lu	e26
Thai_maichattawa	e4b
Thai_maiek	e48
Thai_maihanakat	e31
Thai_maihanakat_maitho	e3e
Thai_maitaikhu	e47
Thai_maitho	e49
Thai_maitri	e4a
Thai_maiyamok	e46
Thai_moma	e21
Thai_ngongu	e07
Thai_nikhahit	e4d
Thai_nonen	e13
Thai_nonu	e19
Thai_oang	e2d
Thai_paiyannoi	e2f
Thai_phinthu	e3a
Thai_phophan	e1e
Thai_phophung	e1c
Thai_phosamphao	e20
Thai_popla	e1b
Thai_rorua	e23
Thai_ru	e24
Thai_saraa	e30
Thai_saraaa	e32
Thai_saraae	e41
Thai_saraaimaimalai	e44
Thai_saraaimaimuan	e43
Thai_saraam	e33
Thai_sarae	e40
Thai_sarai	e34
Thai_saraii	e35
Thai_sarao	e42
Thai_sarau	e38
Thai_saraue	e36
Thai_sarauee	e37
Thai_sarauu	e39
Thai_sorusi	e29
Thai_sosala	e28
Thai_soso	e0b
Thai_sosua	e2a
Thai_thanthakhat	e4c
Thai_thonangmontho	e11
Thai_thophuthao	e12
Thai_thothahan	e17
Thai_thothan	e10
Thai_thothong	e18
Thai_thothung	e16
Thai_topatak	e0f
Thai_totao	e15
Thai_wowaen	e27
Thai_yoyak	e22
Thai_yoying	e0d
Thorn	de
Touroku	-
Tslash	166
U	55
Uacute	da
Ubelowdot	1ee4
Ubreve	16c
Ucircumflex	db
Udiaeresis	dc
Udoubleacute	170
Ugrave	d9
Uhook	1ee6
Uhorn	1af
Uhornacute	1ee8
Uhornbelowdot	1ef0
Uhorngrave	1eea
Uhornhook	1eec
Uhorntilde	1eee
Ukrainian_GHE_WITH_UPTURN	490
Ukrainian_I	406
Ukrainian_IE	404
Ukrainian_YI	407
Ukrainian_ghe_with_upturn	491
Ukrainian_i	456
Ukrainian_ie	454
Ukrainian_yi	457
Ukranian_I	406
Ukranian_JE	404
Ukranian_YI	407
Ukranian_i	456
Ukranian_je	454
Ukranian_yi	457
Umacron	16a
Undo	-
Uogonek	172
Up	-
Uring	16e
User	-
Utilde	168
V	56
VoidSymbol	-
W	57
Wacute	1e82
Wcircumflex	174
Wdiaeresis	1e84
Wgrave	1e80
WonSign	20a9
X	58
XF8610ChannelsDown	-
XF8610ChannelsUp	-
XF863DMode	-
XF86ALSToggle	-
XF86Accessibility	-
XF86AddFavorite	-
XF86Addressbook	-
XF86AppSelect	-
XF86ApplicationLeft	-
XF86ApplicationRight	-
XF86AspectRatio	-
XF86Assistant	-
XF86AttendantOff	-
XF86AttendantOn	-
XF86AttendantToggle	-
